Gavin Crawford
Fred Davis
John Anderson
John Dick
Duncan McNichol
Jimmy Jackson
Archie Cross
Jimmy Ashcroft
Tommy Briercliffe
Bill Gooing
Tim Coleman
Roddy McEachrane
Percy Sands
Archie Gray
David Neave
Charlie Satterthwaite
Andy Ducat
Jimmy Sharp
Hugh McDonald
Charles Lewis
Joe Shaw
David Greenaway
Angus McKinnon
Pat Flanagan
Alex Graham
Jock Rutherford
Billy Blyth
Frank Bradshaw
Jack Butler
Arthur Hutchins
Henry White
Joe Toner
Ernest Williamson
Alf Baker
Alec Mackie
Billy Milne
Jock Robson
Bob John
Andy Kennedy
Jimmy Brain
Sidney Hoar
Dan Lewis
Charlie Buchan
Joe Hulme
Jack Lambert
Tom Parker
Herbie Roberts
Eddie Hapgood
David Jack
Charlie Jones
Cliff Bastin
Alex James
Leslie Compton
George Male
Frank Moss
Ray Bowden
Wilf Copping
Jack Crayston
Ted Drake
Alf Kirchen
Reg Lewis
George Swindin
Walley Barnes
Jimmy Logie
Ian McPherson
Joe Mercer
Laurie Scott
Archie Macaulay
Don Roper
Alex Forbes
Doug Lishman
Lionel Smith
Peter Goring
Jack Kelsey
Cliff Holton
Dave Bowen
Dennis Evans
Bill Dodgin
Len Wills
Jimmy Bloomfield
Danny Clapton
Joe Haverty
Derek Tapscott
Stan Charlton
Vic Groves
David Herd
John Barnwell
Jackie Henderson
Billy McCullough
Eddie Magill
George Eastham
Terry Neill
Alan Skirton
Geoff Strong
Laurie Brown
Johnny MacLeod
George Armstrong
Joe Baker
David Court
Jim Furnell
Jon Sammels
Ian Ure
Bob Wilson
Frank McLintock
John Radford
Peter Simpson
Peter Storey
George Graham
Bob McNab
Pat Rice
Charlie George
Eddie Kelly
Ray Kennedy
Sammy Nelson
Alan Ball
Liam Brady
David Price
Jimmy Rimmer
David O'Leary
Frank Stapleton
John Devine
Malcolm Macdonald
Pat Jennings
Graham Rix
Alan Sunderland
Willie Young
John Hollins
Brian Talbot
Paul Davis
Kenny Sansom
Stewart Robson
Chris Whyte
Tony Woodcock
Tony Adams
Ian Allinson
Charlie Nicholas
Viv Anderson
Steve Williams
John Lukic
Martin Hayes
David Rocastle
Martin Keown
Perry Groves
Paul Merson
Alan Smith
Kevin Richardson
Michael Thomas
Steve Bould
Kevin Campbell
Lee Dixon
Nigel Winterburn
David Hillier
Anders Limpar
Andy Linighan
David Seaman
Ian Wright
John Jensen
Ray Parlour
Dennis Bergkamp
David Platt
Patrick Vieira
Gilles Grimandi
Marc Overmars
Emmanuel Petit
Freddie Ljungberg
Ashley Cole
Thierry Henry
Nwankwo Kanu
Oleh Luzhnyi
Sylvain Wiltord
Robert Pires
Lauren
Sol Campbell
Edu
Gilberto Silva
Kolo Touré
Jens Lehmann
Cesc Fàbregas
Gaël Clichy
Philippe Senderos
Manuel Almunia
José Antonio Reyes
Robin van Persie
Mathieu Flamini
Johan Djourou
Emmanuel Eboué
Alexander Hleb
Nicklas Bendtner
Alex Song
Abou Diaby
Emmanuel Adebayor
Tomáš Rosický
Theo Walcott
William Gallas
Denílson
Bacary Sagna
Kieran Gibbs
Aaron Ramsey
Samir Nasri
Jack Wilshere
Francis Coquelin
Andrey Arshavin
Thomas Vermaelen
Wojciech Szczęsny
Laurent Koscielny
Alex Oxlade-Chamberlain
Per Mertesacker
Mikel Arteta
Olivier Giroud
Santi Cazorla
Nacho Monreal
Mesut Özil
Héctor Bellerín
Alexis Sánchez
Calum Chambers
Danny Welbeck
Ainsley Maitland-Niles
Petr Čech
Alex Iwobi
Mohamed Elneny
Rob Holding
Granit Xhaka
Shkodran Mustafi
Sead Kolašinac
Alexandre Lacazette
Eddie Nketiah
Pierre-Emerick Aubameyang
Bernd Leno
Bukayo Saka
Nicolas Pépé
Gabriel Martinelli
Kieran Tierney
Gabriel Magalhães
Martin Ødegaard
