Name
Charlie Adam
Alan Ainscow
Terry Alcock
William Anderton
Jimmy Armfield
Joe Bainbridge
Alan Ball
Dave Bamber
Steve Banks
Alex Baptiste
David Bardsley
Shaun Barker
Phil Barnes
Matt Barrass
Junior Bent
Bill Bentley
Billy Benton
Harry Bedford
Bob Birkett
Danny Blair
Mark Bonner
Gary Briggs
Ian Britton
Allan Brown
Marvin Bryan
Willie Buchan
Martin Bullock
Ben Burgess
Dave Burgess
Micky Burns
John Burridge
Tony Butler
DJ Campbell
Louis Cardwell
David Carney
Craig Cathcart
John Charles
Ray Charnley
Peter Clarke
T. Clarke
Phil Clarkson
Danny Coid
Jimmy Connor
Russell Coughlin
Stephen Crainey
John Craven
Bob Crewdson
John Curtis
Mike Davies
Nathan Delfouneso
John Deary
Jock Dodds
Percy Downes
Dave Durie
Alex Dyer
Neal Eardley
Tony Ellis
Ian Evatt
David Eyres
George Farm
George Farrow
Ewan Fenton
Bobby Finan
William Fiske
Paul Gardner
Andy Garner
Tommy Garrett
Matt Gilks
Armand Gnanduillet
Andy Gouck
Ian Gore
Kaspars Gorkšs
William Grant
Roy Gratrix
Simon Grayson
John Green
Tony Green
Colin Greenall
Paul Groves
Jimmy Hampson
Steve Harrison
Paul Hart
Dave Hatton
Eric Hayward
Iain Hesford
Steve Hetzke
John Hills
Wes Hoolahan
Des Horne
Phil Horner
Emlyn Hughes
Ian Hughes
Arthur Hull
Tommy Hutchison
Tom Ince
Glyn James 
Harry Johnston 
Jimmy Jones
Sammy Jones
Tommy Jones
Claus Jørgensen
Harold Keenan
Hugh Kelly 
Jimmy Kelly
Richard Kingson
Leslie Lea
Jimmy Leaver
David Linighan
Stanley Matthews
Stan McEwan
Sandy McGinn
Steve McIlhargey
John McPhee
Barrie Martin
Georgie Mee
Micky Mellon
Jack Meredith
Harry Mingay
Colin Methven
David Moore
Steve Morgan
Stan Mortensen
Jackie Mudie
Alex Munro
John Murphy
Graham Oates
Brett Ormerod
Keigan Parker
Jack Parkinson
Ray Parry
Terry Pashley
Bill Perry
Brian Peterson
Andy Preece
James Quinn
Peter Quinn
Paul Rachubka
Stan Ramsay
Clark Robertson
Tony Rodwell
Billy Ronson
Graham Rowe
Jack Scott
Eddie Shimwell
Barry Siddall
Trevor Sinclair
Keith Southern
Jay Spearing
Paul Stewart
Harry Stirzaker
Ron Suart
Peter Suddaby
Alan Suddick
Ernie Taylor
Mark Taylor
Scott Taylor
Gary Taylor-Fletcher
Tommy Thompson
Percy Thorpe
Edward Threlfall
Billy Tremelling
Bert Tulloch
Ollie Turton
David Vaughan
Tony Waiters
Jock Wallace
Mickey Walsh
Mike Walsh
Dickie Watmough
Albert Watson
Andy Watson
Phil Watson
Richie Wellens
Jimmy Weston
Dick Witham
George Wood
Jackie Wright
